filtercategory,namesansparty,Last_updated,title,Subhed2,Description,email,subhed3,lastname,piclink,chamber,yn,Subhed1
D,ERIC HOUGHTALING,,ERIC HOUGHTALING (D),11,732-695-3371,AsmHoughtaling@njleg.org,AsmHoughtaling@njleg.org,Houghtaling,houghtaling_color.jpg,Asm,U,
R,JOSEPH HOWARTH,,JOSEPH HOWARTH (R),8,609-654-1498,AsmHowarth@njleg.org,AsmHowarth@njleg.org,Howarth,howarth_color.jpg,Asm,U,
D,VALERIE VAINIERI HUTTLE,,VALERIE VAINIERI HUTTLE (D),37,201-541-1118,AsmHuttle@njleg.org,AsmHuttle@njleg.org,Huttle,huttle_color.jpg,Asm,N,
D,MILA M. JASEY,,MILA M. JASEY (D),27,973-762-1886,AsmJasey@njleg.org,AsmJasey@njleg.org,Jasey,jasey_color.jpg,Asm,U,
D,ANGELICA M. JIMENEZ,,ANGELICA M. JIMENEZ (D),32,201-223-4247,AsmJimenez@njleg.org,AsmJimenez@njleg.org,Jimenez,jimenez_color.jpg,Asm,U,
D,GORDON M. JOHNSON,,GORDON M. JOHNSON (D),37,201-836-4924,AsmJohnson@njleg.org,AsmJohnson@njleg.org,Johnson,johnson_color.jpg,Asm,U,
D,PATRICIA EGAN JONES,,PATRICIA EGAN JONES (D),5,856-547-4800,AsmJones@njleg.org,AsmJones@njleg.org,Jones,jones_color.jpg,Asm,U,
D,ROBERT J. KARABINCHAK,,ROBERT J. KARABINCHAK (D),18,732-548-1406,AsmKarabinchak@njleg.org,AsmKarabinchak@njleg.org,Karabinchak,karabinchak_color.jpg,Asm,Y,
R,SEAN T. KEAN,,SEAN T. KEAN (R),30,732-974-0400,AsmKean@njleg.org,AsmKean@njleg.org,Kean,kean_sean_color.jpg,Asm,N,
D,JAMES J. KENNEDY,,JAMES J. KENNEDY (D),22,732-943-2660,AsmKennedy@njleg.org,AsmKennedy@njleg.org,Kennedy,kennedy_color.jpg,Asm,Y,
D,PAMELA R. LAMPITT,,PAMELA R. LAMPITT (D),6,856-435-1247,AsmLampitt@njleg.org,AsmLampitt@njleg.org,Lampitt,lampitt_pamela_2017.jpg,Asm,U,
D,R. BRUCE LAND,,R. BRUCE LAND (D),1,609-465-0700,AsmLand@njleg.org,AsmLand@njleg.org,Land,land_color.jpg,Asm,U,
D,YVONNE LOPEZ,,YVONNE LOPEZ (D),19,732-855-7441,AsmLopez@njleg.org,AsmLopez@njleg.org,Lopez,lopez_yvonne_2017.jpg,Asm,U,
D,VINCENT MAZZEO,,VINCENT MAZZEO (D),2,609-383-1388,AsmMazzeo@njleg.org,AsmMazzeo@njleg.org,Mazzeo,mazzeo_color.jpg,Asm,U,
R,GREGORY P. MCGUCKIN,,GREGORY P. MCGUCKIN (R),10,732-840-9028,AsmMcGuckin@njleg.org,AsmMcGuckin@njleg.org,McGuckin,mcguckin_color.jpg,Asm,N,
D,JOHN F. MCKEON,,JOHN F. MCKEON (D),27,973-377-1606,AsmMcKeon@njleg.org,AsmMcKeon@njleg.org,McKeon,mckeon_color.jpg,Asm,U,
D,ANGELA V. McKNIGHT,,ANGELA V. McKNIGHT (D),31,201-360-2502,AsmMcKnight@njleg.org,AsmMcKnight@njleg.org,McKnight,mcknight_color.jpg,Asm,Y,
D,PEDRO MEJIA,,PEDRO MEJIA (D),32,201-770-1303,AsmMejia@njleg.org,AsmMejia@njleg.org,Mejia,,Asm,U,
D,MATTHEW MILAM,,MATTHEW MILAM (D),1,856-765-0891,Pending,Pending,Milam,,Asm,U,
D,PAUL D. MORIARTY,,PAUL D. MORIARTY (D),4,856-232-6700,AsmMoriarty@njleg.org,AsmMoriarty@njleg.org,Moriarty,moriarty_color.jpg,Asm,U,
D,GABRIELA M. MOSQUERA,,GABRIELA M. MOSQUERA (D),4,,AsmMosquera@njleg.org,AsmMosquera@njleg.org,Mosquera,mosquera_color.jpg,Asm,U,
D,RAJ MUKHERJI,,RAJ MUKHERJI (D),33,201-626-4000,AsmMukherji@njleg.org,AsmMukherji@njleg.org,Mukherji,mukherji_color.jpg,Asm,U,
R,NANCY F. MUNOZ,,NANCY F. MUNOZ (R),21,908-232-3673,AsmMunoz@njleg.org,AsmMunoz@njleg.org,Munoz,munoz_color.jpg,Asm,U,
D,CAROL A. MURPHY,,CAROL A. MURPHY (D),7,856-234-2790,AsmMurphy@njleg.org,AsmMurphy@njleg.org,Murphy,murphy_carol_2017.jpg,Asm,U,
R,RYAN PETERS,,RYAN PETERS (R),8,609-654-1498,AsmPeters@njleg.org,AsmPeters@njleg.org,Peters,peters_ryan_2017.jpg,Asm,U,
R,ERIK PETERSON,,ERIK PETERSON (R),23,908-238-0251,AsmPeterson@njleg.org,AsmPeterson@njleg.org,Peterson,peterson_color.jpg,Asm,N,
D,NANCY J. PINKIN,,NANCY J. PINKIN (D),18,732-548-1406,AsmPinkin@njleg.org,AsmPinkin@njleg.org,Pinkin,pinkin_color.jpg,Asm,U,
D,ELIANA PINTOR MARIN,,ELIANA PINTOR MARIN (D),29,973-589-0713,AsmMarin@njleg.org,AsmMarin@njleg.org,pintormarin,pintormarin_eliana_2017.jpg,Asm,Y,
D,ANNETTE QUIJANO,,ANNETTE QUIJANO (D),20,908-624-0880,AsmQuijano@njleg.org,AsmQuijano@njleg.org,Quijano,quijano_color.jpg,Asm,Y,
D,VERLINA REYNOLDS-JACKSON,,VERLINA REYNOLDS-JACKSON (D),15,(609) 571-9638,Pending,Pending,Reynolds-Jackson,,Asm,U,
R,KEVIN J. ROONEY,,KEVIN J. ROONEY (R),40,973-237-1362,AsmRooney@njleg.org,AsmRooney@njleg.org,Rooney,rooney.jpg,Asm,U,
R,BRIAN E. RUMPF,,BRIAN E. RUMPF (R),9,609-693-6700,AsmRumpf@njleg.org,AsmRumpf@njleg.org,Rumpf,rumpf_color.jpg,Asm,N,
D,GARY S. SCHAER,,GARY S. SCHAER (D),36,973-249-3665,AsmSchaer@njleg.org,AsmSchaer@njleg.org,Schaer,schaer_color.jpg,Asm,U,
R,HOLLY SCHEPISI,,HOLLY SCHEPISI (R),39,201-666-0881,AsmSchepisi@njleg.org,AsmSchepisi@njleg.org,Schepisi,schepisi_color.jpg,Asm,U,
R,PARKER SPACE,,PARKER SPACE (R),24,973-300-0200,AsmSpace@njleg.org,AsmSpace@njleg.org,Space,space_color.jpg,Asm,N,
D,WILLIAM SPEARMAN,,WILLIAM SPEARMAN (D),5,856-547-4800,AsmSpearman@njleg.org,AsmSpearman@njleg.org,Spearman,,Asm,U,
D,SHANIQUE SPEIGHT,,SHANIQUE SPEIGHT (D),29,,AsmSpeight@njleg.org,AsmSpeight@njleg.org,Speight,speight_shanique_2017.jpg,Asm,U,
D,SHAVONDA E. SUMTER,,SHAVONDA E. SUMTER (D),35,973-925-7061,AsmSumter@njleg.org,AsmSumter@njleg.org,Sumter,sumter_color.jpg,Asm,U,
D,LISA SWAIN,,LISA SWAIN (D),38,,AsmSwain@njleg.org,AsmSwain@njleg.org,Swain,,Asm,U,
D,ADAM J. TALIAFERRO,,ADAM J. TALIAFERRO (D),3,856-339-0808,AsmTaliaferro@njleg.org,AsmTaliaferro@njleg.org,Taliaferro,taliaferro_color.jpg,Asm,U,
R,EDWARD H. THOMSON,,EDWARD H. THOMSON (R),30,732-974-0400,AsmThomson@njleg.org,AsmThomson@njleg.org,Thomson,thomson_color.jpg,Asm,U,
D,BRITNEE TIMBERLAKE,,BRITNEE TIMBERLAKE (D),34,973-395-1166,btimberlake@njleg.org,btimberlake@njleg.org,Timberlake,,Asm,Y,
D,CLEOPATRA G. TUCKER,,CLEOPATRA G. TUCKER (D),28,973-926-4320,AsmTucker@njleg.org,AsmTucker@njleg.org,Tucker,tucker_cleopatra_2017.jpg,Asm,U,
D,P. CHRISTOPHER TULLY,,P. CHRISTOPHER TULLY (D),38,,AsmTully@njleg.org,AsmTully@njleg.org,Tully,,Asm,U,
D,ANTHONY S. VERRELLI,,ANTHONY VERRELLI (D),15,609-571-9638,AsmVerrelli@njleg.org,AsmVerrelli@njleg.org,Verrelli,,Asm,U,
R,JAY WEBBER,,JAY WEBBER (R),26,973-265-0057,AsmWebber@njleg.org,AsmWebber@njleg.org,Webber,webber_color.jpg,Asm,U,
D,BENJIE E. WIMBERLY,,BENJIE E. WIMBERLY (D),35,973-925-7061,AsmWimberly@njleg.org,AsmWimberly@njleg.org,Wimberly,wimberly_color.jpg,Asm,U,
R,HAROLD J. WIRTHS,,HAROLD J. WIRTHS (R),24,973-300-0200,AsmWirths@njleg.org,AsmWirths@njleg.org,Wirths,wirths_harold_2017.jpg,Asm,N,
R,DAVID W. WOLFE,,DAVID W. WOLFE (R),10,732-840-9028,AsmWolfe@njleg.org,AsmWolfe@njleg.org,Wolfe,wolfe_color.jpg,Asm,N,
D,ANDREW ZWICKER,,ANDREW ZWICKER (D),16,609-454-3147,AsmZwicker@njleg.org,AsmZwicker@njleg.org,Zwicker,zwicker_color.jpg,Asm,Y,
